Product_ID,Supplier_ID,Product_Name,Category,Unit_Cost,MOQ,Annual_Demand
5001,1451,Accept Product,Furniture,2639.04,149,4653
5002,1896,Loss Product,Electronics,4112.68,432,12264
5003,1619,Activity Product,Software License,4286.01,70,2138
5004,1047,Relate Product,Furniture,2880.19,137,10778
5005,1620,Myself Product,Software License,3792.53,161,14343
5006,1002,Movie Product,Raw Material,4694.37,499,13638
5007,1579,Travel Product,Networking,389.57,287,1114
5008,1093,Trade Product,Furniture,617.78,314,12029
5009,1109,Force Product,Packaging,3009.24,91,8235
5010,1857,Artist Product,Packaging,2219.88,371,10087
5011,1700,Sister Product,Networking,3220.24,300,14076
5012,1029,Make Product,Server,3311.18,499,11276
5013,1521,Analysis Product,Office Equipment,4902.8,122,826
5014,1959,Approach Product,Electronics,685.7,294,3277
5015,1941,Stock Product,Furniture,4120.88,51,3817
5016,1588,Unit Product,Laptop,2028.45,69,12739
5017,1273,Have Product,Raw Material,462.77,36,4216
5018,1034,Body Product,Office Equipment,601.06,162,14205
5019,1538,Store Product,Office Equipment,1751.8,253,6419
5020,1004,Type Product,Networking,632.94,98,10136
5021,1924,Provide Product,Electronics,3467.81,118,3063
5022,1367,Price Product,Electronics,2996.09,403,1651
5023,1749,Region Product,Raw Material,2315.31,235,6425
5024,1103,Record Product,Furniture,1952.61,423,734
5025,1892,Admit Product,Electronics,1780.01,496,10137
5026,1993,View Product,Software License,738.11,196,4801
5027,1903,South Product,Raw Material,3597.72,256,14456
5028,1577,Tonight Product,Industrial Parts,3731.88,162,728
5029,1659,Exist Product,Raw Material,630.29,58,7642
5030,1156,Life Product,Packaging,3314.42,124,4205
5031,1402,Movie Product,Electronics,197.08,185,5035
5032,1575,Project Product,Networking,3412.67,259,4245
5033,1570,Sure Product,Server,4736.15,157,11152
5034,1675,Pressure Product,Raw Material,1164.94,45,4836
5035,1994,Job Product,Furniture,2007.89,160,4260
5036,1903,Job Product,Industrial Parts,2411.62,495,13891
5037,1705,Not Product,Electronics,4579.94,255,9740
5038,1836,Everything Product,Networking,803.05,71,2691
5039,1455,Animal Product,Server,1930.6,170,13170
5040,1340,Democrat Product,Electronics,1927.7,127,4903
5041,1804,Recognize Product,Furniture,4552.57,482,14528
5042,1294,Second Product,Laptop,1998.67,22,14074
5043,1592,Health Product,Office Equipment,2812.7,311,6456
5044,1289,Continue Product,Furniture,843.32,36,11004
5045,1490,Some Product,Office Equipment,4780.59,100,9280
5046,1797,Positive Product,Raw Material,4752.56,417,11655
5047,1169,Member Product,Packaging,2933.52,49,10757
5048,1682,Long Product,Industrial Parts,4688.57,354,5915
5049,1837,Mr Product,Networking,2859.84,471,5673
5050,1241,Yeah Product,Furniture,509.05,328,12668
5051,1985,Necessary Product,Software License,2691.51,161,11613
5052,1766,Lot Product,Raw Material,2608.8,255,13640
5053,1616,Cultural Product,Industrial Parts,2958.09,113,4439
5054,1927,Medical Product,Office Equipment,2110.98,473,13598
5055,1195,Forget Product,Packaging,2048.82,122,6852
5056,1961,Different Product,Office Equipment,2208.47,40,8382
5057,1145,Themselves Product,Raw Material,4144.69,356,454
5058,1372,Doctor Product,Office Equipment,777.98,68,761
5059,1516,Understand Product,Raw Material,2920.09,128,8276
5060,1331,Method Product,Networking,490.12,181,13810
5061,1793,Role Product,Server,2184.48,340,12686
5062,1083,Ahead Product,Software License,455.96,494,1364
5063,1579,Fill Product,Server,3668.39,39,3808
5064,1120,A Product,Raw Material,3118.79,487,13396
5065,1540,State Product,Industrial Parts,3568.38,84,13877
5066,1488,Language Product,Laptop,3517.55,22,6091
5067,1306,Health Product,Server,2129.61,231,5007
5068,1941,Travel Product,Networking,2657.48,27,10374
5069,1916,Mention Product,Networking,660.67,306,10335
5070,1551,Oil Product,Office Equipment,4467.46,469,4247
5071,1934,Place Product,Raw Material,1753.23,180,1860
5072,1614,Participant Product,Electronics,1841.6,68,14341
5073,1318,School Product,Networking,943.46,336,203
5074,1464,Identify Product,Raw Material,1640.27,320,2750
5075,1695,It Product,Laptop,1003.93,358,2863
5076,1155,Message Product,Office Equipment,267.78,215,1760
5077,1138,Early Product,Networking,2305.01,139,13262
5078,1474,Exactly Product,Industrial Parts,3420.53,192,7992
5079,1217,Yard Product,Industrial Parts,1040.14,267,4974
5080,1966,Trip Product,Industrial Parts,669.98,387,8420
5081,1013,Letter Product,Raw Material,3432.53,459,6064
5082,1077,Those Product,Software License,2394.23,382,10650
5083,1417,Ten Product,Electronics,1669.17,264,7703
5084,1235,Natural Product,Networking,802.89,194,11276
5085,1215,They Product,Furniture,3086.35,351,12084
5086,1830,Design Product,Furniture,1287.6,426,6343
5087,1531,Threat Product,Server,4480.14,342,14339
5088,1760,Trade Product,Furniture,647.2,361,2537
5089,1347,Himself Product,Server,4974.16,295,7620
5090,1894,Final Product,Packaging,3714.74,468,13135
5091,1461,Product Product,Networking,3701.45,214,4718
5092,1546,Project Product,Server,3888.77,355,14187
5093,1375,Break Product,Office Equipment,2950.89,474,605
5094,1277,Possible Product,Packaging,1069.24,327,7689
5095,1304,Right Product,Software License,1290.43,58,13804
5096,1344,Purpose Product,Electronics,3576.12,261,5279
5097,1502,Thing Product,Raw Material,4997.54,133,6426
5098,1453,Situation Product,Server,4467.68,248,7628
5099,1592,Return Product,Office Equipment,2140.25,67,4240
5100,1166,Laugh Product,Electronics,1830.78,287,10673
5101,1817,While Product,Software License,700.15,95,1229
5102,1121,Though Product,Electronics,2576.21,285,5241
