PO_ID,Supplier_ID,Product_ID,Order_Date,Delivery_Date,Quantity,Unit_Cost,Total_Cost,Order_Status
100000,1816,5238,2025-05-24,2025-06-23,400,142.14,56856.0,Completed
100001,1622,5725,2025-06-01,2025-07-14,279,2329.25,649860.75,Delayed
100002,1115,6627,2025-07-24,2025-08-30,478,3717.03,1776740.34,Pending
100003,1483,6182,2026-03-22,2026-04-23,709,148.92,105584.28,Pending
100004,1749,5986,2026-02-28,2026-03-20,733,2100.62,1539754.46,Completed
100005,1798,6955,2026-02-22,2026-03-30,552,4183.23,2309142.96,Delayed
100006,1668,6772,2026-01-23,2026-02-25,339,2600.27,881491.53,Delayed
100007,1626,6285,2025-11-10,2025-12-24,581,4576.08,2658702.48,Delayed
100008,1014,6239,2026-05-24,2026-06-12,368,4924.23,1812116.64,Pending
100009,1567,5199,2024-12-23,2025-01-25,240,359.89,86373.6,Delayed
100010,1879,5772,2025-11-22,2025-12-02,231,2230.74,515300.94,Cancelled
100011,1476,5027,2026-07-16,2026-08-24,48,1927.22,92506.56,Completed
100012,1312,6167,2025-07-02,2025-07-07,378,3507.63,1325884.14,Completed
100013,1163,5313,2025-01-23,2025-02-10,194,3664.02,710819.88,Delayed
100014,1825,5986,2025-04-19,2025-05-16,38,1702.8,64706.4,Completed
100015,1889,5240,2025-08-15,2025-09-10,631,1167.23,736522.13,Pending
100016,1191,6069,2025-09-24,2025-11-07,437,229.72,100387.64,Delayed
100017,1733,5444,2024-12-18,2025-01-07,301,3691.51,1111144.51,Cancelled
100018,1958,6759,2025-02-16,2025-03-31,777,1283.88,997574.76,Pending
100019,1391,6939,2026-07-22,2026-08-31,59,1623.06,95760.54,Delayed
100020,1966,5162,2025-07-19,2025-08-16,684,881.72,603096.48,Delayed
100021,1227,6741,2025-09-18,2025-11-01,501,1782.98,893272.98,Pending
100022,1882,5974,2025-01-01,2025-01-07,589,1142.1,672696.9,Cancelled
100023,1946,6081,2026-05-19,2026-06-03,342,3165.52,1082607.84,Pending
100024,1354,5482,2025-04-08,2025-04-30,744,4432.4,3297705.6,Completed
100025,1830,5143,2025-09-18,2025-10-10,474,1041.59,493713.66,Delayed
100026,1292,5572,2024-12-21,2025-01-05,601,3701.69,2224715.69,Pending
100027,1444,5632,2025-05-24,2025-06-28,636,323.65,205841.4,Cancelled
100028,1470,6714,2025-12-17,2026-01-17,341,1098.13,374462.33,Delayed
100029,1391,5798,2026-01-19,2026-02-27,348,1443.15,502216.2,Pending
100030,1423,5533,2025-09-14,2025-10-20,624,4881.02,3045756.48,Delayed
100031,1737,5772,2025-08-27,2025-09-15,367,312.09,114537.03,Pending
100032,1315,6680,2025-12-21,2026-01-31,292,1678.1,490005.2,Delayed
100033,1127,6304,2025-01-13,2025-02-13,200,1873.26,374652.0,Cancelled
100034,1771,6534,2025-07-04,2025-07-27,370,1904.6,704702.0,Pending
100035,1191,6156,2024-11-06,2024-12-17,599,4924.01,2949481.99,Pending
100036,1020,6887,2025-07-09,2025-08-06,564,1884.52,1062869.28,Cancelled
100037,1785,5983,2026-06-21,2026-07-05,31,2482.46,76956.26,Completed
100038,1862,5425,2024-12-02,2024-12-23,384,1413.33,542718.72,Cancelled
100039,1826,6886,2026-04-18,2026-05-07,642,2938.97,1886818.74,Cancelled
100040,1060,5327,2025-03-15,2025-03-20,94,1574.62,148014.28,Delayed
100041,1015,5417,2026-05-17,2026-06-04,61,3451.81,210560.41,Cancelled
