Supplier_ID,Supplier_Name,Country_ID,Category,Payment_Terms,Lead_Time_Days,Performance_Score,Risk_Score,Annual_Contract_Value
1001,"Hoover, Gonzalez and Barrera",3,Packaging,Net 30,8,87.46,1,2233842
1002,"Johnson, Hart and Gonzalez",5,Marketing,Immediate,37,87.78,1,832918
1003,Atkinson Ltd,5,Logistics,Net 30,6,98.6,10,2381341
1004,"Kerr, Jackson and Ryan",3,Marketing,Advance,12,74.39,3,2518740
1005,"Pierce, Sanford and Mclaughlin",6,Electronics,Net 60,8,70.63,5,844888
1006,"Harris, Thompson and Jones",6,Electronics,Immediate,28,84.39,9,556169
1007,Hamilton-Vargas,2,Facilities,Net 45,41,94.32,5,1631415
1008,Cruz Group,10,Electronics,Immediate,45,72.59,10,2926703
1009,Ramsey-Brown,2,Manufacturing,Advance,39,93.78,6,426651
1010,Harris-Bush,6,Office Supplies,Net 45,21,86.71,3,1522002
1011,Simmons LLC,6,IT Services,Net 60,6,95.9,5,2907341
1012,"Sims, Hill and Kaufman",3,Packaging,Advance,45,85.57,10,1120074
1013,Simpson Inc,7,Manufacturing,Net 60,18,97.44,7,1130090
1014,"Callahan, Allen and Benson",1,Office Supplies,Advance,26,73.44,10,2090838
1015,Velez-Nunez,4,Electronics,Net 45,29,81.22,9,124051
1016,Jones-Woods,10,Electronics,Net 30,32,91.57,2,470747
1017,French-Dixon,4,Packaging,Net 30,31,97.14,4,2391675
1018,Perez-Leonard,3,Facilities,Net 30,23,93.97,2,1219986
1019,"Frank, Ramirez and Garcia",9,IT Services,Immediate,8,75.84,6,93772
1020,Thomas Ltd,5,Electronics,Net 60,38,72.33,6,2838944
1021,Reynolds LLC,2,Packaging,Net 30,23,80.07,5,2924542
1022,Snow-Rivers,5,Logistics,Advance,6,95.81,5,2536108
1023,"Bradford, Schwartz and Roberts",2,Professional Services,Net 60,10,80.67,9,494403
1024,"Keller, Garza and Guerrero",2,Office Supplies,Advance,33,86.64,4,2015739
1025,Cook-Mata,7,Office Supplies,Net 60,9,80.6,7,1576451
1026,Mccormick PLC,6,Electronics,Advance,15,97.49,5,1205089
1027,"Glass, Young and Deleon",1,Facilities,Advance,16,76.09,9,385588
1028,"Anderson, Kent and Collins",5,Office Supplies,Immediate,36,91.6,8,2378801
1029,"Davis, Rodriguez and Perkins",1,Office Supplies,Advance,23,80.86,5,2727027
1030,Duran-Casey,5,Marketing,Net 60,35,77.67,6,473678
1031,Simmons Inc,10,Manufacturing,Net 45,17,86.5,1,365402
1032,Garcia Ltd,7,Professional Services,Net 60,29,85.88,8,951055
1033,"Collier, Miles and Cole",8,Logistics,Net 60,26,84.17,10,2568521
1034,Horton Ltd,8,Logistics,Advance,14,92.64,4,2989086
1035,Hobbs Group,2,Manufacturing,Net 30,37,95.51,3,2166102
1036,Johnson-Hernandez,9,Office Supplies,Advance,14,72.53,6,2485062
1037,"Randolph, Simmons and Turner",4,Office Supplies,Net 60,23,71.29,6,2405611
1038,Ray Group,9,Manufacturing,Net 45,45,72.66,2,2358962
1039,Robbins-Schmidt,2,Packaging,Net 30,28,94.95,4,2452279
1040,"Jackson, Davis and Garcia",9,IT Services,Net 30,23,94.12,3,223587
1041,"Cervantes, Jones and Garcia",8,IT Services,Net 60,36,72.88,1,911550
1042,Gomez LLC,8,Office Supplies,Net 30,26,75.12,5,1975732
1043,Johnson LLC,7,Office Supplies,Advance,45,73.11,7,2889556
1044,Willis Ltd,1,Office Supplies,Net 30,32,96.1,2,265441
1045,Peters-Johnson,4,Logistics,Net 45,34,79.71,5,1829285
1046,Holmes PLC,1,Manufacturing,Immediate,11,73.69,3,2282325
1047,Edwards-Mcdonald,2,Electronics,Immediate,37,77.86,10,1295161
1048,"Garcia, Torres and Thomas",3,Marketing,Net 30,27,87.24,1,2078882
1049,Gray Ltd,2,Marketing,Immediate,35,99.6,9,2263160
1050,Roberts-Stewart,10,Marketing,Immediate,42,73.78,10,1893484
1051,King-Martin,10,Raw Materials,Advance,21,91.69,9,741370
1052,Allen Inc,4,Logistics,Net 30,37,76.74,10,963161
1053,Padilla-Moore,4,Packaging,Net 45,9,74.03,10,2515227
1054,Sandoval-Hines,1,IT Services,Net 45,19,90.25,6,173310
1055,Turner-Fitzpatrick,9,Professional Services,Advance,10,95.81,1,2333832
1056,Duncan PLC,7,Facilities,Advance,8,97.62,8,89955
1057,"Stevens, Hall and Thomas",1,Marketing,Immediate,25,75.16,10,2466257
1058,Shepherd-Davis,8,Electronics,Immediate,37,93.49,5,2795823
1059,"Mills, Gonzalez and Pena",9,Office Supplies,Net 45,22,74.99,5,1119645
1060,Bryan-Nichols,7,Logistics,Immediate,36,76.21,1,1397300
1061,"Dean, Ruiz and Young",5,Facilities,Net 30,44,73.06,5,380202
1062,Garcia-Bowen,8,Logistics,Immediate,43,78.56,4,2129170
1063,Ortiz-Garcia,10,IT Services,Net 45,6,87.32,7,477308
1064,Mendez Ltd,5,Marketing,Net 45,25,92.47,4,1367438
1065,Cooley-Brown,10,Office Supplies,Immediate,10,95.01,5,2206172
1066,"Morris, Lee and White",5,Logistics,Net 45,26,91.49,9,601631
1067,"Smith, Cook and Maddox",5,Raw Materials,Net 60,35,95.68,7,448445
1068,May-Diaz,5,Logistics,Immediate,30,80.12,9,2220076
1069,"Macias, White and Allen",6,Raw Materials,Net 30,28,90.16,5,433929
1070,Smith PLC,2,IT Services,Net 30,28,96.33,5,2579108
1071,Mccarty-Howard,8,Electronics,Net 30,31,84.34,1,643814
1072,"Jones, Richards and Stewart",2,Office Supplies,Advance,23,73.78,8,631643
1073,"Cohen, Watson and Evans",5,Packaging,Immediate,39,88.39,5,176420
1074,Nelson Ltd,2,Office Supplies,Immediate,9,71.96,4,964610
1075,Everett-Peterson,4,IT Services,Immediate,44,99.87,6,2863435
1076,Durham Inc,2,Professional Services,Net 45,40,93.26,9,1742147
1077,Powers and Sons,5,Professional Services,Net 30,42,71.73,10,2696890
1078,Lawson and Sons,9,Electronics,Immediate,44,79.42,3,2136856
1079,"White, Carr and Berg",1,IT Services,Net 30,5,85.87,4,1355966
1080,"Arroyo, Sullivan and Ochoa",8,Marketing,Net 60,7,80.5,9,976468
1081,Vincent Ltd,7,Electronics,Net 45,42,86.02,1,2219991
1082,Welch LLC,9,Facilities,Immediate,37,73.54,9,2870315
1083,Acosta-Miller,6,Manufacturing,Net 30,37,72.74,4,2787820
1084,"Phillips, Wilkins and Saunders",9,Marketing,Advance,19,85.73,10,1613329
1085,Edwards-Alexander,8,IT Services,Net 45,21,86.28,8,289617
1086,Adams PLC,9,Packaging,Net 45,45,75.08,7,706417
1087,Martinez and Sons,10,Marketing,Net 30,44,73.43,5,2010627
1088,"Duncan, Brown and Trevino",5,Facilities,Net 45,38,78.96,1,1544861
1089,Hernandez Inc,6,IT Services,Net 45,33,73.03,9,2292278
1090,"Ramos, Burns and Flynn",2,Logistics,Immediate,27,92.05,8,473079
1091,"Parker, Thomas and Moore",8,Logistics,Advance,14,94.89,6,2375842
1092,"Mccormick, Kennedy and Scott",7,Packaging,Net 45,45,74.53,7,2838230
1093,Cummings Ltd,4,Marketing,Advance,40,91.21,6,834863
1094,Johnson-Neal,1,Facilities,Net 30,25,70.11,2,525943
1095,Mccormick Ltd,5,Office Supplies,Immediate,41,95.2,9,2073732
1096,"Garrison, Yoder and Martinez",6,Logistics,Net 30,34,81.81,9,496643
1097,Burke PLC,1,Raw Materials,Net 45,11,73.92,1,336474
1098,"Humphrey, Mcbride and Coleman",4,Packaging,Net 60,19,98.69,8,2883705
1099,"Jackson, Williams and Wolfe",2,Professional Services,Net 45,21,75.14,9,2520176
1100,Bowman-Garrison,3,Packaging,Net 30,28,74.31,1,369955
1101,"Hardin, Gaines and Price",3,Manufacturing,Net 30,43,78.23,3,1740584
1102,Larson-Chen,9,Professional Services,Net 60,21,76.32,6,446499
1103,Bullock Inc,10,Manufacturing,Immediate,18,92.32,4,834767
1104,Jimenez Inc,5,Electronics,Advance,15,80.23,10,1520272
1105,Rivera LLC,1,Electronics,Net 30,17,93.24,6,1122684
1106,"Martin, Gray and Wade",2,Logistics,Net 30,8,81.77,9,1491228
1107,Sawyer and Sons,3,Manufacturing,Net 60,7,81.54,2,2211147
1108,"Norris, Wood and Holden",10,IT Services,Net 45,20,84.58,7,2468775
1109,Mckinney-Bullock,1,Logistics,Net 30,28,86.68,5,188361
1110,Harrison-Lewis,5,Manufacturing,Immediate,40,84.22,6,248720
1111,"Carter, Berger and Wells",7,Facilities,Immediate,29,80.46,9,815138
1112,Parsons Inc,2,Electronics,Immediate,6,96.21,6,2367037
1113,Giles-Cruz,3,Raw Materials,Net 60,16,76.49,7,526392
1114,Shepard PLC,2,Facilities,Net 60,15,83.22,4,2317010
1115,"Martin, Grant and Rice",9,Manufacturing,Net 60,28,83.29,2,2081399
1116,"Johnson, Hughes and Stein",6,Raw Materials,Net 45,33,75.87,9,1698510
1117,Blair-Baker,2,Professional Services,Immediate,6,82.89,10,842311
1118,Phillips-Jimenez,2,IT Services,Net 45,20,91.88,2,1089718
1119,Miller Group,7,Office Supplies,Immediate,42,84.25,6,1926946
1120,"Dyer, Smith and Peters",10,Facilities,Immediate,17,96.08,3,1902911
1121,Jimenez Ltd,1,Logistics,Immediate,42,87.63,7,1437111
1122,Harris Inc,9,Facilities,Advance,15,79.31,3,2487131
1123,Petersen Inc,3,IT Services,Advance,6,94.15,8,2785335
1124,Velasquez-Campbell,9,Office Supplies,Immediate,8,97.8,9,1886835
1125,Sutton-Freeman,3,Electronics,Advance,12,79.71,8,1862985
1126,"Gutierrez, Pacheco and Diaz",2,Logistics,Net 30,42,71.94,6,978600
1127,Stevenson Group,8,Manufacturing,Immediate,42,75.21,4,917182
